  V_V1                 , V(D1:1)              , V(V1:+)              
  -3.530000000000e+000  ,-3.529994180377e+000  ,-3.530000000000e+000  
  -3.520000000000e+000  ,-3.519994182973e+000  ,-3.520000000000e+000  
  -3.510000000000e+000  ,-3.509994185576e+000  ,-3.510000000000e+000  
  -3.500000000000e+000  ,-3.499994188180e+000  ,-3.500000000000e+000  
  -3.490000000000e+000  ,-3.489994190791e+000  ,-3.490000000000e+000  
  -3.480000000000e+000  ,-3.479994193405e+000  ,-3.480000000000e+000  
  -3.470000000000e+000  ,-3.469994196024e+000  ,-3.470000000000e+000  
  -3.460000000000e+000  ,-3.459994198646e+000  ,-3.460000000000e+000  
  -3.450000000000e+000  ,-3.449994201275e+000  ,-3.450000000000e+000  
  -3.440000000000e+000  ,-3.439994203905e+000  ,-3.440000000000e+000  
  -3.430000000000e+000  ,-3.429994206542e+000  ,-3.430000000000e+000  
  -3.420000000000e+000  ,-3.419994209183e+000  ,-3.420000000000e+000  
  -3.410000000000e+000  ,-3.409994211828e+000  ,-3.410000000000e+000  
  -3.400000000000e+000  ,-3.399994214478e+000  ,-3.400000000000e+000  
  -3.390000000000e+000  ,-3.389994217131e+000  ,-3.390000000000e+000  
  -3.380000000000e+000  ,-3.379994219791e+000  ,-3.380000000000e+000  
  -3.370000000000e+000  ,-3.369994222455e+000  ,-3.370000000000e+000  
  -3.360000000000e+000  ,-3.359994225122e+000  ,-3.360000000000e+000  
  -3.350000000000e+000  ,-3.349994227795e+000  ,-3.350000000000e+000  
  -3.340000000000e+000  ,-3.339994230473e+000  ,-3.340000000000e+000  
  -3.330000000000e+000  ,-3.329994233155e+000  ,-3.330000000000e+000  
  -3.320000000000e+000  ,-3.319994235842e+000  ,-3.320000000000e+000  
  -3.310000000000e+000  ,-3.309994238533e+000  ,-3.310000000000e+000  
  -3.300000000000e+000  ,-3.299994241229e+000  ,-3.300000000000e+000  
  -3.290000000000e+000  ,-3.289994243930e+000  ,-3.290000000000e+000  
  -3.280000000000e+000  ,-3.279994246636e+000  ,-3.280000000000e+000  
  -3.270000000000e+000  ,-3.269994249346e+000  ,-3.270000000000e+000  
  -3.260000000000e+000  ,-3.259994252061e+000  ,-3.260000000000e+000  
  -3.250000000000e+000  ,-3.249994254781e+000  ,-3.250000000000e+000  
  -3.240000000000e+000  ,-3.239994257505e+000  ,-3.240000000000e+000  
  -3.230000000000e+000  ,-3.229994260234e+000  ,-3.230000000000e+000  
  -3.220000000000e+000  ,-3.219994262970e+000  ,-3.220000000000e+000  
  -3.210000000000e+000  ,-3.209994265710e+000  ,-3.210000000000e+000  
  -3.200000000000e+000  ,-3.199994268454e+000  ,-3.200000000000e+000  
  -3.190000000000e+000  ,-3.189994271202e+000  ,-3.190000000000e+000  
  -3.180000000000e+000  ,-3.179994273958e+000  ,-3.180000000000e+000  
  -3.170000000000e+000  ,-3.169994276716e+000  ,-3.170000000000e+000  
  -3.160000000000e+000  ,-3.159994279481e+000  ,-3.160000000000e+000  
  -3.150000000000e+000  ,-3.149994282250e+000  ,-3.150000000000e+000  
  -3.140000000000e+000  ,-3.139994285025e+000  ,-3.140000000000e+000  
  -3.130000000000e+000  ,-3.129994287804e+000  ,-3.130000000000e+000  
  -3.120000000000e+000  ,-3.119994290589e+000  ,-3.120000000000e+000  
  -3.110000000000e+000  ,-3.109994293379e+000  ,-3.110000000000e+000  
  -3.100000000000e+000  ,-3.099994296174e+000  ,-3.100000000000e+000  
  -3.090000000000e+000  ,-3.089994298974e+000  ,-3.090000000000e+000  
  -3.080000000000e+000  ,-3.079994301778e+000  ,-3.080000000000e+000  
  -3.070000000000e+000  ,-3.069994304589e+000  ,-3.070000000000e+000  
  -3.060000000000e+000  ,-3.059994307404e+000  ,-3.060000000000e+000  
  -3.050000000000e+000  ,-3.049994310225e+000  ,-3.050000000000e+000  
  -3.040000000000e+000  ,-3.039994313051e+000  ,-3.040000000000e+000  
  -3.030000000000e+000  ,-3.029994315884e+000  ,-3.030000000000e+000  
  -3.020000000000e+000  ,-3.019994318721e+000  ,-3.020000000000e+000  
  -3.010000000000e+000  ,-3.009994321563e+000  ,-3.010000000000e+000  
  -3.000000000000e+000  ,-2.999994324411e+000  ,-3.000000000000e+000  
  -2.990000000000e+000  ,-2.989994327265e+000  ,-2.990000000000e+000  
  -2.980000000000e+000  ,-2.979994330123e+000  ,-2.980000000000e+000  
  -2.970000000000e+000  ,-2.969994332987e+000  ,-2.970000000000e+000  
  -2.960000000000e+000  ,-2.959994335856e+000  ,-2.960000000000e+000  
  -2.950000000000e+000  ,-2.949994338732e+000  ,-2.950000000000e+000  
  -2.940000000000e+000  ,-2.939994341612e+000  ,-2.940000000000e+000  
  -2.930000000000e+000  ,-2.929994344498e+000  ,-2.930000000000e+000  
  -2.920000000000e+000  ,-2.919994347390e+000  ,-2.920000000000e+000  
  -2.910000000000e+000  ,-2.909994350288e+000  ,-2.910000000000e+000  
  -2.900000000000e+000  ,-2.899994353191e+000  ,-2.900000000000e+000  
  -2.890000000000e+000  ,-2.889994356100e+000  ,-2.890000000000e+000  
  -2.880000000000e+000  ,-2.879994359016e+000  ,-2.880000000000e+000  
  -2.870000000000e+000  ,-2.869994361935e+000  ,-2.870000000000e+000  
  -2.860000000000e+000  ,-2.859994364862e+000  ,-2.860000000000e+000  
  -2.850000000000e+000  ,-2.849994367795e+000  ,-2.850000000000e+000  
  -2.840000000000e+000  ,-2.839994370731e+000  ,-2.840000000000e+000  
  -2.830000000000e+000  ,-2.829994373676e+000  ,-2.830000000000e+000  
  -2.820000000000e+000  ,-2.819994376625e+000  ,-2.820000000000e+000  
  -2.810000000000e+000  ,-2.809994379581e+000  ,-2.810000000000e+000  
  -2.800000000000e+000  ,-2.799994382542e+000  ,-2.800000000000e+000  
  -2.790000000000e+000  ,-2.789994385510e+000  ,-2.790000000000e+000  
  -2.780000000000e+000  ,-2.779994388483e+000  ,-2.780000000000e+000  
  -2.770000000000e+000  ,-2.769994391463e+000  ,-2.770000000000e+000  
  -2.760000000000e+000  ,-2.759994394449e+000  ,-2.760000000000e+000  
  -2.750000000000e+000  ,-2.749994397440e+000  ,-2.750000000000e+000  
  -2.740000000000e+000  ,-2.739994400439e+000  ,-2.740000000000e+000  
  -2.730000000000e+000  ,-2.729994403442e+000  ,-2.730000000000e+000  
  -2.720000000000e+000  ,-2.719994406452e+000  ,-2.720000000000e+000  
  -2.710000000000e+000  ,-2.709994409469e+000  ,-2.710000000000e+000  
  -2.700000000000e+000  ,-2.699994412492e+000  ,-2.700000000000e+000  
  -2.690000000000e+000  ,-2.689994415521e+000  ,-2.690000000000e+000  
  -2.680000000000e+000  ,-2.679994418556e+000  ,-2.680000000000e+000  
  -2.670000000000e+000  ,-2.669994421598e+000  ,-2.670000000000e+000  
  -2.660000000000e+000  ,-2.659994424646e+000  ,-2.660000000000e+000  
