  Frequency            , V(C1:2)              
  6.760829753920e+004  ,2.504302751030e-002  
  6.918309709189e+004  ,2.447299242425e-002  
  7.079457843841e+004  ,2.391593199879e-002  
  7.244359600750e+004  ,2.337155095613e-002  
  7.413102413009e+004  ,2.283956073572e-002  
  7.585775750292e+004  ,2.231967934162e-002  
  7.762471166287e+004  ,2.181163119332e-002  
  7.943282347243e+004  ,2.131514697994e-002  
  8.128305161641e+004  ,2.082996351776e-002  
  8.317637711027e+004  ,2.035582361094e-002  
  8.511380382024e+004  ,1.989247591541e-002  
  8.709635899561e+004  ,1.943967480589e-002  
  8.912509381337e+004  ,1.899718024580e-002  
  9.120108393559e+004  ,1.856475766030e-002  
  9.332543007970e+004  ,1.814217781203e-002  
  9.549925860214e+004  ,1.772921667982e-002  
  9.772372209558e+004  ,1.732565534002e-002  
  1.000000000000e+005  ,1.693127985063e-002  
  1.023292992281e+005  ,1.654588113802e-002  
  1.047128548051e+005  ,1.616925488618e-002  
  1.071519305238e+005  ,1.580120142854e-002  
  1.096478196143e+005  ,1.544152564222e-002  
  1.122018454302e+005  ,1.509003684473e-002  
  1.148153621497e+005  ,1.474654869290e-002  
  1.174897554940e+005  ,1.441087908422e-002  
  1.202264434617e+005  ,1.408285006040e-002  
  1.230268770812e+005  ,1.376228771305e-002  
  1.258925411794e+005  ,1.344902209160e-002  
  1.288249551693e+005  ,1.314288711323e-002  
  1.318256738556e+005  ,1.284372047491e-002  
  1.348962882592e+005  ,1.255136356738e-002  
  1.380384264603e+005  ,1.226566139114e-002  
  1.412537544623e+005  ,1.198646247432e-002  
  1.445439770746e+005  ,1.171361879241e-002  
  1.479108388168e+005  ,1.144698568983e-002  
  1.513561248436e+005  ,1.118642180328e-002  
  1.548816618912e+005  ,1.093178898685e-002  
  1.584893192461e+005  ,1.068295223876e-002  
  1.621810097359e+005  ,1.043977962989e-002  
  1.659586907438e+005  ,1.020214223380e-002  
  1.698243652462e+005  ,9.969914058440e-003  
  1.737800828749e+005  ,9.742971979381e-003  
  1.778279410039e+005  ,9.521195674538e-003  
  1.819700858610e+005  ,9.304467560419e-003  
  1.862087136663e+005  ,9.092672729797e-003  
  1.905460717963e+005  ,8.885698890813e-003  
  1.949844599758e+005  ,8.683436307455e-003  
  1.995262314969e+005  ,8.485777741400e-003  
  2.041737944670e+005  ,8.292618395167e-003  
  2.089296130854e+005  ,8.103855856577e-003  
  2.137962089502e+005  ,7.919390044462e-003  
  2.187761623950e+005  ,7.739123155623e-003  
  2.238721138568e+005  ,7.562959612981e-003  
  2.290867652768e+005  ,7.390806014921e-003  
  2.344228815320e+005  ,7.222571085777e-003  
  2.398832919019e+005  ,7.058165627449e-003  
  2.454708915685e+005  ,6.897502472121e-003  
  2.511886431510e+005  ,6.740496436053e-003  
  2.570395782769e+005  ,6.587064274426e-003  
  2.630267991895e+005  ,6.437124637212e-003  
  2.691534803927e+005  ,6.290598026048e-003  
  2.754228703338e+005  ,6.147406752098e-003  
  2.818382931264e+005  ,6.007474894863e-003  
  2.884031503127e+005  ,5.870728261935e-003  
  2.951209226666e+005  ,5.737094349667e-003  
  3.019951720402e+005  ,5.606502304738e-003  
  3.090295432514e+005  ,5.478882886586e-003  
  3.162277660168e+005  ,5.354168430703e-003  
  3.235936569296e+005  ,5.232292812767e-003  
  3.311311214826e+005  ,5.113191413581e-003  
  3.388441561392e+005  ,4.996801084819e-003  
  3.467368504525e+005  ,4.883060115544e-003  
  3.548133892336e+005  ,4.771908199495e-003  
  3.630780547701e+005  ,4.663286403116e-003  
  3.715352290972e+005  ,4.557137134307e-003  
  3.801893963206e+005  ,4.453404111896e-003  
  3.890451449943e+005  ,4.352032335797e-003  
  3.981071705535e+005  ,4.252968057853e-003  
  4.073802778041e+005  ,4.156158753339e-003  
  4.168693834703e+005  ,4.061553093117e-003  
  4.265795188016e+005  ,3.969100916419e-003  
  4.365158322402e+005  ,3.878753204258e-003  
  4.466835921510e+005  ,3.790462053435e-003  
  4.570881896149e+005  ,3.704180651144e-003  
  4.677351412872e+005  ,3.619863250150e-003  
  4.786300923226e+005  ,3.537465144541e-003  
  4.897788193684e+005  ,3.456942646019e-003  
  5.011872336273e+005  ,3.378253060740e-003  
  5.128613839914e+005  ,3.301354666678e-003  
  5.248074602498e+005  ,3.226206691505e-003  
  5.370317963702e+005  ,3.152769290974e-003  
  5.495408738576e+005  ,3.081003527793e-003  
  5.623413251903e+005  ,3.010871350983e-003  
  5.754399373371e+005  ,2.942335575700e-003  
  5.888436553556e+005  ,2.875359863524e-003  
  6.025595860743e+005  ,2.809908703190e-003  
  6.165950018615e+005  ,2.745947391761e-003  
  6.309573444802e+005  ,2.683442016228e-003  
  6.456542290346e+005  ,2.622359435533e-003  
  6.606934480076e+005  ,2.562667262990e-003  
  6.760829753920e+005  ,2.504333849124e-003  
  6.918309709189e+005  ,2.447328264879e-003  
  7.079457843841e+005  ,2.391620285231e-003  
  7.244359600750e+005  ,2.337180373155e-003  
  7.413102413009e+005  ,2.283979663964e-003  
  7.585775750292e+005  ,2.231989950013e-003  
  7.762471166287e+005  ,2.181183665733e-003  
  7.943282347243e+005  ,2.131533873023e-003  
  8.128305161641e+005  ,2.083014246966e-003  
  8.317637711027e+005  ,2.035599061866e-003  
  8.511380382024e+005  ,1.989263177618e-003  
  8.709635899561e+005  ,1.943982026370e-003  
  8.912509381337e+005  ,1.899731599500e-003  
  9.120108393559e+005  ,1.856488434889e-003  
  9.332543007970e+005  ,1.814229604476e-003  
  9.549925860214e+005  ,1.772932702106e-003  
  9.772372209558e+005  ,1.732575831650e-003  
  1.000000000000e+006  ,1.693137595392e-003  
  1.023292992281e+006  ,1.654597082686e-003  
  1.047128548051e+006  ,1.616933858871e-003  
  1.071519305238e+006  ,1.580127954431e-003  
  1.096478196143e+006  ,1.544159854413e-003  
  1.122018454302e+006  ,1.509010488077e-003  
  1.148153621497e+006  ,1.474661218784e-003  
  1.174897554940e+006  ,1.441093834117e-003  
  1.202264434617e+006  ,1.408290536222e-003  
